,12-1 top-3,12-2 top-3,12-3 top-3,12-4 top-3,12-6 top-3,12-1 top-5,12-2 top-5,12-3 top-5,12-4 top-5,12-6 top-5,12-1 top-10,12-2 top-10,12-3 top-10,12-4 top-10,12-6 top-10,12-1 top-25,12-2 top-25,12-3 top-25,12-4 top-25,12-6 top-25
12-1 top-10,0.8350360694553765,0.8111756010270441,0.7863113128497377,0.704593961390955,0.6130162480523571,0.9076028205690797,0.8773359931112564,0.8367197432833082,0.7422239128228846,0.666212298625005,1.0,0.914117982338252,0.8634557432764103,0.7957200995734692,0.6956108587787678,0.8313184214705714,0.7971081492114955,0.7494291682892597,0.7210031251614506,0.637713235137635
12-2 top-10,0.7900639854626216,0.8336620233557531,0.821375059488122,0.7500495879710481,0.6678936913550737,0.8513747064820065,0.9110624920720992,0.8743447978497063,0.7903243566895153,0.7042195745712785,0.914117982338252,1.0,0.912247034370479,0.8462685612326357,0.7323678577878003,0.8064433036947705,0.8194776423177538,0.7833768593285892,0.7384668384245683,0.6612906817629837
12-3 top-10,0.7645482729819575,0.8026073754335483,0.8176394567796854,0.791516209547268,0.7047829041899184,0.8262406852485153,0.8783200190360431,0.8822635081633629,0.8627123232487307,0.7561905208153256,0.8634557432764103,0.912247034370479,1.0,0.9184102663908192,0.8089105402811337,0.7875548780786419,0.8320633697856368,0.8377772147003663,0.8028530124566232,0.7235913642082785
12-4 top-10,0.7128675740020661,0.7440449253426328,0.7671920945214402,0.8053552773993935,0.7564303183845673,0.7703772730942041,0.8122186912503366,0.8417172232658916,0.8949446912103904,0.8152706467851031,0.7957200995734692,0.8462685612326357,0.9184102663908192,1.0,0.8752651125728426,0.7543329013140727,0.806352758315714,0.8259248258061129,0.8483175502331793,0.790437546543838
12-6 top-10,0.6340090266244813,0.6488400478993029,0.6711981045766889,0.756945241802295,0.8165309847195349,0.6890000339355121,0.7128385202392887,0.7522572633917998,0.8464219398612252,0.8952693748296555,0.6956108587787678,0.7323678577878003,0.8089105402811337,0.8752651125728426,1.0,0.6627388078805541,0.7182335448299736,0.7575611086435824,0.7925345206303146,0.8303649941694641
12-1 top-25,0.616644840336099,0.6324823182420896,0.6215921023054535,0.5745162805139791,0.5179976951239259,0.701318953180204,0.7119091968265282,0.683352993031571,0.6372182729329877,0.5825489124395117,0.8313184214705714,0.8064433036947705,0.7875548780786419,0.7543329013140727,0.6627388078805541,1.0,0.9261791945350566,0.885234052590522,0.8501576810208957,0.7591402322937477
12-2 top-25,0.5950375548839069,0.638777662935425,0.6373419151089801,0.593664965207541,0.5451346204725104,0.677510673379355,0.717436058066796,0.7032513547700342,0.6780847174762114,0.6151637773059395,0.7971081492114955,0.8194776423177538,0.8320633697856368,0.806352758315714,0.7182335448299736,0.9261791945350566,1.0,0.944391604398615,0.9072727740598576,0.8164195826837528
12-3 top-25,0.5667966493251397,0.6061036514654674,0.6163975566451826,0.6167511801705962,0.5719742687971419,0.6464414532901395,0.692373844531032,0.6964907153524551,0.7036346368340249,0.6518194120877926,0.7494291682892597,0.7833768593285892,0.8377772147003663,0.8259248258061129,0.7575611086435824,0.885234052590522,0.944391604398615,1.0,0.939524105287567,0.8638652037768593
12-4 top-25,0.5449959512788775,0.5606089048948288,0.574351466103682,0.615248037383412,0.5895245660796877,0.6219622164075743,0.6443855825542509,0.6543764896842893,0.7166502007379598,0.6736187699117913,0.7210031251614506,0.7384668384245683,0.8028530124566232,0.8483175502331793,0.7925345206303146,0.8501576810208957,0.9072727740598576,0.939524105287567,1.0,0.9133746178631843
12-6 top-25,0.4791648544071367,0.5102797249096361,0.5146235783162906,0.5808526625932844,0.5988548216434667,0.5566892914985576,0.5843776018183653,0.6030120309977407,0.6808661511005705,0.6946174658800115,0.637713235137635,0.6612906817629837,0.7235913642082785,0.790437546543838,0.8303649941694641,0.7591402322937477,0.8164195826837528,0.8638652037768593,0.9133746178631843,1.0
