start,end,first3,last3,eq,erc_irr,erc_diff,erc_turn,erc_irr52,invvol_irr,invvol_diff,invvol_turn,invvol_irr52,6040_irr,6040_diff,6040_turn,6040_irr52,equal_irr,equal_diff,equal_turn,equal_irr52
1983,2002,19.064458519168447,-14.771099888176686,8.187204221973243,9.151652717583103,0.9644484956098598,0.14356335322423813,7.662588941008655,9.1516527175831,0.964448495609858,0.1435633532242381,7.662588941008649,8.742602289002582,0.5553980670293388,0.12425709675742339,7.4854368789700585,8.632259241427716,0.44505501945447357,0.1264083385388018,7.333378855868841
1984,2003,17.04410761756414,-2.663136232861718,9.284546611765714,9.966354809552067,0.6818081977863528,0.17395941430940054,8.23365237672275,8.912474751356122,-0.3720718604095925,0.14772640752988667,7.4170120494812055,8.962676946389747,-0.3218696653759672,0.13216472431141918,7.543541393107109,8.733253982667927,-0.5512926290977873,0.13177728447738332,7.322086091630411
1985,2004,16.209507211446006,5.145986798026958,9.028267726662293,9.61694115909123,0.5886734324289371,0.18424915425755503,8.034912768213873,8.375517765506983,-0.65274996115531,0.14281436749517074,6.956328501875572,8.526952076657555,-0.501315650004738,0.13191608394203297,7.1237677661662335,8.250756737171528,-0.7775109894907644,0.1310374375806707,6.876296754135463
1986,2005,11.768525233378057,16.07652335898184,8.437407541371321,9.185318915156493,0.7479113737851719,0.1889098191224588,7.741328530406036,7.83125604803008,-0.6061514933412413,0.14526880285723037,6.461856089059925,7.9118340079930345,-0.5255735333782869,0.12908281650410064,6.580997607641112,7.678506622645828,-0.7589009187254936,0.1307087183008156,6.370820878038969
1987,2006,15.615634651157428,11.076853246571062,8.641204677403008,9.035568623690626,0.3943639462876174,0.19942335352311286,7.544019425654702,7.648486703745499,-0.9927179736575091,0.14762184765313785,6.2547275091050185,7.82301412221135,-0.8181905551916584,0.12498147930037093,6.446833087030324,7.524282642474739,-1.1169220349282698,0.12989968704767557,6.183219590402124
1988,2007,12.631678602094464,8.98909748514063,8.247004230665192,8.849035052360712,0.6020308216955197,0.18698020680676203,7.382493486433725,7.486624238696144,-0.7603799919690486,0.13517870093678702,6.085123596480161,7.612908286046452,-0.63409594461874,0.12101940722908067,6.210857105332959,7.347917399833784,-0.8990868308314086,0.12115460864504446,5.981622671836154
1989,2008,17.748779714654074,-8.227652388953254,3.978769675654892,7.732335253145706,3.7535655774908143,0.1942314108908178,6.46330106049364,6.404249156252869,2.4254794805979776,0.1424299050208428,5.217185500819956,5.773413104164497,1.7946434285096053,0.1294393794325905,4.7628678184811255,5.961619509651833,1.9828498339969416,0.12822974493971834,4.8851375891249855
1990,2009,11.624602261850114,-4.84676246818908,5.069104165641418,7.1860605066738605,2.1169563410324423,0.1992727554439845,5.984347003807522,5.920276146614466,0.8511719809730476,0.1474712495740095,4.815737789291097,5.894137861355461,0.8250336957140432,0.13968202674769178,4.795689562272424,5.8690746930831486,0.7999705274417304,0.13879156550042704,4.7707319739497835
1991,2010,18.05127392474324,-1.466477954685086,5.422470526884878,7.041940999660401,1.6194704727755234,0.20166754279712257,5.7799268701143145,5.850027004861455,0.4275564779765775,0.14986603692714756,4.689471092679652,5.967239575836904,0.544769048952026,0.145129954152567,4.755028641825233,5.91805901416278,0.49558848727790217,0.14668229478630795,4.726650875137056
1992,2011,6.809125436071128,14.922711482488339,4.671923084771577,6.997898230264318,2.325975145492741,0.19548891771543714,5.699283221978875,5.881369058753064,1.2094459739814871,0.14368741184546213,4.6854725145630605,5.700276944575577,1.0283538598040005,0.14576031243365378,4.523825876175466,5.780497066858612,1.1085739820870355,0.14749201153462527,4.594265574030429
1993,2012,14.952525087910672,11.142446494386116,5.038617967255042,6.742951291796034,1.7043333245409924,0.19718827903010083,5.43354991065095,5.697046546676987,0.6584285794219449,0.14538677316012585,4.488338858559045,5.741974166956567,0.703356199701525,0.1474183901120798,4.5044406753699695,5.768578071524411,0.7299601042693693,0.150269236449493,4.539409774015048
1994,2013,18.316254028897518,16.47995163851612,6.518838439276206,6.92569126214376,0.4068528228675534,0.20896220936155255,5.517712016716662,5.49109503031187,-1.0277434089643362,0.14808886722768785,4.287112089477958,6.243755900389547,-0.2750825388866591,0.1455297148457391,4.870821815571904,6.076502306948408,-0.44233613232779856,0.15347074758606866,4.747833969617722
1995,2014,29.605166187924127,20.67015890313968,6.539281472170974,6.941433470615779,0.402151998444805,0.20879451338473637,5.5337068911963145,5.536567435522516,-1.0027140366484586,0.14868461184030685,4.280965083626498,6.282279261699253,-0.2570022104717209,0.14747517024670623,4.888295700575885,6.117141146770014,-0.42214032540096014,0.15673836838001431,4.759518000957624
1996,2015,25.501836726890993,14.812165952866941,5.809724001395944,6.220691261043113,0.41096725964716896,0.22129717130687201,4.931639914392581,5.027596823673071,-0.7821271777228729,0.15138030248673634,3.864546189745509,5.724241808282718,-0.08548219311322569,0.1499857829531471,4.474136253194495,5.592069318814534,-0.21765468258140963,0.15849547634292416,4.3602535396370445
