method,start,alloc,eq,diff,turn,alloc52
invvol,1984,9.769535665071466,9.284546611765714,0.4849890533057515,0.14812764681850293,8.155158198051272
invvol,1985,9.264056400802993,9.028267726662293,0.23578867414070004,0.14142333529733597,7.717536016615773
invvol,1986,8.668457069995142,8.437407541371321,0.23104952862382078,0.14434540596673545,7.179343279913447
invvol,1987,8.439218922826566,8.641204677403008,-0.20198575457644274,0.14687505446936233,6.936602523172642
invvol,1988,8.241805427820323,8.247004230665192,-0.005198802844869732,0.13443455775347907,6.741340839101909
invvol,1989,7.214091880410578,3.978769675654892,3.235322204755686,0.14181112005032853,5.904912374479196
invvol,1990,6.798573729972987,5.069104165641418,1.729469564331569,0.14679973831908297,5.555407983350749
invvol,1991,6.779018780982199,5.422470526884878,1.356548254097321,0.14869014602357816,5.477241391765069
invvol,1992,6.869563038989249,4.671923084771577,2.1976399542176717,0.14222450434010853,5.527623771528635
invvol,1993,6.695545951276766,5.038617967255042,1.6569279840217241,0.14430600134104254,5.341238857726896
invvol,1994,6.5322622572029925,6.518838439276206,0.013423817926786263,0.14683688533316133,5.174245717067687
invvol,1995,6.6175530713972694,6.539281472170974,0.07827159922629523,0.14749040841463518,5.198327658191873
invvol,1996,6.116368672129886,5.809724001395944,0.3066446707339425,0.15037914102746366,4.78189286706369
invvol,1997,5.957888856409819,6.138217934627124,-0.18032907821730504,0.15041716122082366,4.675658252374921
invvol,1998,5.87870905147833,7.117564511770519,-1.2388554602921893,0.1469329950813868,4.619450004686862
invvol,1999,5.264003646010937,6.308347238159861,-1.0443435921489241,0.1398702413860217,4.13856393050942
invvol,2000,5.873326881255355,7.938403379140449,-2.0650764978850935,0.13289754941944082,4.612308856079624
invvol,2001,6.35331528101451,9.231606561189402,-2.878291280174892,0.1429197006340342,5.008220508024635
invvol,2002,6.230430447567146,10.364362229304112,-4.133931781736965,0.1397967947144764,4.96826135496846
invvol,2003,4.645786181484343,8.090480161002569,-3.4446939795182256,0.13290098662535346,3.7842543552114
invvol,2004,4.739062208015262,9.179996843964172,-4.440934635948911,0.12727942691375502,3.807530246835726
invvol,2005,4.701964014121097,10.248970791087144,-5.547006776966047,0.12843808933620854,3.7220172820245425
invvol,2006,4.906431513503362,10.861324999044031,-5.954893485540669,0.12349303130604401,3.8380812493925665
6040,1976,11.851921734471432,12.69132408212415,-0.8394023476527188,0.11362047381399029,9.766270954132168
6040,1977,11.763235873632954,13.18092330609813,-1.4176874324651756,0.11401272878753135,9.712178659434523
6040,1978,12.509301797385403,14.201494254996238,-1.692192457610835,0.11573444075123689,10.365041294129329
6040,1979,12.941173930593724,14.697581225571277,-1.7564072949775529,0.1165689205554677,10.771240220145462
6040,1980,12.856107295566888,15.237957106475013,-2.3818498109081254,0.11804160484962915,10.772694559663314
6040,1981,11.931487794562473,13.176448925969424,-1.244961131406951,0.11427449105586844,9.997428761018195
6040,1982,10.643697983500694,11.221214532286908,-0.577516548786214,0.12046955854528014,9.00134891139452
6040,1983,9.274631768784369,8.187204221973243,1.087427546811126,0.12435391379699032,7.952404063149138
6040,1984,9.525618996404159,9.284546611765714,0.2410723846384446,0.1322245158566852,8.034903485421413
6040,1985,9.101340809517197,9.028267726662293,0.07307308285490421,0.1317752585784036,7.619138477776824
6040,1986,8.445833042279723,8.437407541371321,0.008425500908401773,0.12865557119837132,7.041217528606839
6040,1987,8.323862866654439,8.641204677403008,-0.3173418107485695,0.12421628062016392,6.876798252007027
6040,1988,8.09129052595372,8.247004230665192,-0.15571370471147183,0.12013713452748886,6.622060859036694
6040,1989,6.302691383355352,3.978769675654892,2.3239217077004604,0.129043962527177,5.204214704427758
6040,1990,6.459294302265015,5.069104165641418,1.3901901366235965,0.14002501292911979,5.270051266774677
6040,1991,6.559036436938534,5.422470526884878,1.1365659100536565,0.1450519672495122,5.256584568699702
6040,1992,6.31839116399423,4.671923084771577,1.646468079222653,0.14621906277006932,5.0492414329475155
6040,1993,6.356105461814391,5.038617967255042,1.3174874945593489,0.1479894879519912,5.031161036418491
6040,1994,6.868299878489043,6.518838439276206,0.34946143921283657,0.1457380830506255,5.411265765585144
6040,1995,6.936119422413786,6.539281472170974,0.3968379502428121,0.14729731279408717,5.444659246426986
6040,1996,6.38746732481881,5.809724001395944,0.5777433234228662,0.1498270982131948,5.031870311456784
6040,1997,6.313734405562032,6.138217934627124,0.17551647093490796,0.147789282112114,5.012103757187777
6040,1998,6.7101115334441905,7.117564511770519,-0.40745297832632854,0.14774091487263089,5.346509024615531
6040,1999,6.138607107107938,6.308347238159861,-0.1697401310519231,0.14699748680089955,4.898519078404291
6040,2000,7.274006948844799,7.938403379140449,-0.6643964302956498,0.15014660758375284,5.81105625969337
6040,2001,7.785483868072573,9.231606561189402,-1.4461226931168287,0.15119059475887317,6.244155078822608
6040,2002,8.19562542377889,10.364362229304112,-2.1687368055252207,0.1437159338291394,6.651542486479831
6040,2003,6.3680777081310955,8.090480161002569,-1.7224024528714734,0.1348410954591503,5.241703651985688
6040,2004,6.84990315674818,9.179996843964172,-2.3300936872159923,0.13330075023662377,5.611279900496596
6040,2005,7.229823626767748,10.248970791087144,-3.0191471643193966,0.13582342001212472,5.854872914411029
6040,2006,7.681661115790991,10.861324999044031,-3.17966388325304,0.13919195214216407,6.191987272460432
equal,1976,11.70519354029174,12.69132408212415,-0.9861305418324111,0.1160026554590121,9.65681325536433
equal,1977,11.559168755189885,13.18092330609813,-1.6217545509082445,0.1213648209960326,9.546503153695426
equal,1978,12.255009953484356,14.201494254996238,-1.946484301511882,0.12520498174719585,10.145305042263466
equal,1979,12.611138879418782,14.697581225571277,-2.086442346152495,0.12610727639463135,10.485812469325184
equal,1980,12.276175997129869,15.237957106475013,-2.9617811093451447,0.12017868797196887,10.288060964352047
equal,1981,11.578114814583587,13.176448925969424,-1.598334111385837,0.11384041131919394,9.703510300226625
equal,1982,10.403523370757195,11.221214532286908,-0.8176911615297122,0.11994073367240823,8.779892587471256
equal,1983,9.282677108905075,8.187204221973243,1.095472886931832,0.12470585185360958,7.905956041522311
equal,1984,9.421195155146059,9.284546611765714,0.13664854338034438,0.13160891493088525,7.923207872856142
equal,1985,8.951994268976874,9.028267726662293,-0.07627345768541893,0.1306607470321606,7.482319542040513
equal,1986,8.333357266530466,8.437407541371321,-0.10405027484085494,0.1287581632130715,6.939201934923761
equal,1987,8.14107609043726,8.641204677403008,-0.500128586965749,0.12802977382457167,6.715005240048599
equal,1988,7.936858141668246,8.247004230665192,-0.3101460889969463,0.11940980017871419,6.489648099500594
equal,1989,6.60668261897257,3.978769675654892,2.6279129433176784,0.1275567029679656,5.4281205800370795
equal,1990,6.555271687626391,5.069104165641418,1.4861675219849726,0.1385782797625775,5.35029063043028
equal,1991,6.638416724999099,5.422470526884878,1.2159461981142217,0.14461467170968242,5.344231758569914
equal,1992,6.5386352221276205,4.671923084771577,1.8667121373560436,0.14598355666374882,5.24152692379346
equal,1993,6.525598430858745,5.038617967255042,1.486980463603703,0.14937706837566855,5.192128799751002
equal,1994,6.851895634833238,6.518838439276206,0.33305719555703206,0.152522654180419,5.419339404775378
equal,1995,6.925309278102365,6.539281472170974,0.3860278059313904,0.15577663486267598,5.451713567583805
equal,1996,6.415982895675762,5.809724001395944,0.6062588942798177,0.15746154765578046,5.056205678346693
equal,1997,6.287868103213823,6.138217934627124,0.14965016858669866,0.15627052695164717,4.982988716906283
equal,1998,6.495577344465431,7.117564511770519,-0.6219871673050879,0.14907929055552535,5.167331953471052
equal,1999,5.921534606572994,6.308347238159861,-0.3868126315868672,0.145687806947406,4.714571553442913
equal,2000,6.863271362960566,7.938403379140449,-1.0751320161798832,0.14926567617343425,5.461862479548025
equal,2001,7.356066751649351,9.231606561189402,-1.8755398095400508,0.15006262168723553,5.871507266256574
equal,2002,7.617093822925153,10.364362229304112,-2.747268406378959,0.14275301455696804,6.151078803527378
equal,2003,5.861237890111864,8.090480161002569,-2.2292422708907047,0.14222512076787383,4.804648239414237
equal,2004,6.22946385539202,9.179996843964172,-2.950532988572152,0.13663869963901237,5.075761756922309
equal,2005,6.4225494006950266,10.248970791087144,-3.8264213903921176,0.1376876202519032,5.167238621411618
equal,2006,6.723348642157506,10.861324999044031,-4.137976356886525,0.13914062362139418,5.373774388490614
