,implicita,realizzata,premio
2000-11-22,27.71,31.755423473794252,-4.045423473794251
2000-11-24,26.0,30.8980601332835,-4.898060133283501
2000-11-27,26.93,31.30620960768012,-4.376209607680121
2000-11-28,27.64,30.915235079164493,-3.275235079164492
2000-11-29,27.49,31.226465698186257,-3.736465698186258
2000-11-30,29.65,32.811439468575635,-3.1614394685756366
2000-12-01,27.48,37.850471067081884,-10.370471067081883
2000-12-04,27.78,38.16832613568485,-10.38832613568485
2000-12-05,24.99,35.83562473293865,-10.84562473293865
2000-12-06,25.07,35.43202619100415,-10.362026191004148
2000-12-07,25.34,35.496975645820925,-10.156975645820925
2000-12-08,22.41,34.363729134073964,-11.953729134073964
2000-12-11,23.51,34.49031690199445,-10.980316901994446
2000-12-12,24.88,34.36413420995797,-9.484134209957968
2000-12-13,23.63,34.31643512954112,-10.68643512954112
2000-12-14,24.86,33.79594650250239,-8.93594650250239
2000-12-15,26.55,33.25599975944195,-6.705999759441948
2000-12-18,27.7,33.30620122439668,-5.606201224396681
2000-12-19,27.17,32.72712269662585,-5.5571226966258465
2000-12-20,31.74,30.06437692685485,1.6756230731451467
2000-12-21,29.66,30.061259454653634,-0.40125945465363344
2000-12-22,27.55,28.69430814639034,-1.1443081463903404
2000-12-26,28.73,28.68452056423469,0.045479435765312104
2000-12-27,28.14,28.48335935243599,-0.34335935243598925
2000-12-28,26.57,28.420451087201325,-1.850451087201325
2000-12-29,26.85,28.149889520209538,-1.2998895202095362
2001-01-02,29.99,24.749082407232844,5.240917592767154
2001-01-03,26.6,18.152424631437064,8.447575368562937
2001-01-04,26.97,17.511398573500717,9.458601426499282
2001-01-05,28.67,13.575164087406186,15.094835912593815
2001-01-08,29.84,13.959242099770409,15.880757900229591
2001-01-09,27.99,14.227748943525913,13.762251056474085
2001-01-10,26.8,14.393802833164104,12.406197166835897
2001-01-11,25.79,14.08552022468475,11.70447977531525
2001-01-12,24.56,14.367667869212564,10.192332130787435
2001-01-16,25.28,14.130673020065363,11.149326979934639
2001-01-17,24.93,14.47263348530609,10.45736651469391
2001-01-18,23.37,15.150409895445192,8.21959010455481
2001-01-19,23.24,16.27806008098028,6.96193991901972
2001-01-22,23.25,17.145973288209795,6.104026711790205
2001-01-23,21.57,15.660819901908205,5.909180098091795
2001-01-24,22.03,15.4193112686658,6.610688731334202
2001-01-25,22.64,17.41291589596653,5.2270841040334695
2001-01-26,22.57,17.61926672708044,4.95073327291956
2001-01-29,22.61,17.353565627847328,5.256434372152672
2001-01-30,22.57,16.9533005636072,5.6166994363928
2001-01-31,22.02,16.942888773760046,5.077111226239953
2001-02-01,21.66,17.05185854973012,4.60814145026988
2001-02-02,21.95,17.108198034860475,4.841801965139524
2001-02-05,22.19,17.32878876321146,4.861211236788542
2001-02-06,21.98,17.288855369861935,4.691144630138066
2001-02-07,21.67,18.758546852035316,2.9114531479646857
2001-02-08,21.46,23.11075853363547,-1.650758533635468
2001-02-09,22.03,24.135838083646576,-2.1058380836465744
2001-02-12,21.92,24.401804031669556,-2.4818040316695544
2001-02-13,21.37,24.61188737175604,-3.2418873717560395
2001-02-14,21.52,25.07977751097495,-3.55977751097495
2001-02-15,20.27,26.028165513535612,-5.758165513535612
2001-02-16,22.12,26.38975937745558,-4.269759377455578
2001-02-20,24.69,26.359935508267174,-1.669935508267173
2001-02-21,25.75,26.0176978228283,-0.2676978228282998
2001-02-22,26.76,27.603067220872475,-0.8430672208724737
2001-02-23,27.21,28.12660448756665,-0.9166044875666479
2001-02-26,25.43,28.668878596833956,-3.238878596833956
2001-02-27,26.49,29.557788821222807,-3.067788821222809
2001-02-28,28.35,29.319633012710167,-0.9696330127101653
2001-03-01,28.08,29.805245846998208,-1.7252458469982095
2001-03-02,27.43,30.125204729594856,-2.695204729594856
2001-03-05,27.12,31.981305789476526,-4.861305789476525
2001-03-06,25.89,31.42007192862557,-5.530071928625571
2001-03-07,24.12,36.27817525730869,-12.158175257308688
2001-03-08,24.29,36.67184751277204,-12.38184751277204
2001-03-09,25.62,36.27340347968473,-10.65340347968473
2001-03-12,30.32,34.999334279383135,-4.679334279383134
2001-03-13,27.55,34.469584853896976,-6.919584853896975
2001-03-14,29.61,33.83607601362787,-4.226076013627868
2001-03-15,28.56,33.86429447072541,-5.304294470725413
2001-03-16,29.91,33.14342106663105,-3.233421066631049
2001-03-19,29.78,35.17406715180948,-5.39406715180948
2001-03-20,30.96,34.01664004571883,-3.0566400457188294
2001-03-21,31.93,33.31716494541517,-1.3871649454151722
2001-03-22,32.84,34.061997005460526,-1.2219970054605227
2001-03-23,30.45,33.94438333509688,-3.494383335096881
2001-03-26,29.04,34.181437067507886,-5.141437067507887
2001-03-27,27.04,33.33824290510828,-6.298242905108282
2001-03-28,28.58,31.988330997412195,-3.4083309974121967
2001-03-29,29.17,31.838932771058797,-2.6689327710587953
2001-03-30,28.64,31.894850995105813,-3.254850995105812
2001-04-02,31.21,31.014982186033922,0.19501781396607853
2001-04-03,34.72,28.125574127473406,6.5944258725265925
2001-04-04,34.07,28.00105569438412,6.068944305615879
2001-04-05,29.94,24.238316773241532,5.701683226758469
2001-04-06,31.69,22.51984991068994,9.170150089310063
2001-04-09,31.91,22.800097368213184,9.109902631786817
2001-04-10,29.44,21.204894717965523,8.235105282034478
2001-04-11,28.46,21.502867715725785,6.957132284274216
2001-04-12,26.12,21.044740910735925,5.075259089264076
2001-04-16,26.33,20.894291086323133,5.435708913676866
2001-04-17,25.61,22.445167854128474,3.164832145871525
2001-04-18,24.13,18.409749590909776,5.720250409090223
2001-04-19,24.16,17.826840437946448,6.333159562053552
2001-04-20,25.38,18.33945909780336,7.040540902196639
2001-04-23,28.16,16.937483874531132,11.222516125468868
2001-04-24,28.49,17.675956551202606,10.814043448797392
2001-04-25,27.4,16.988799839894593,10.411200160105405
2001-04-26,25.96,17.57365414477031,8.386345855229692
2001-04-27,24.02,17.46142605860137,6.558573941398631
2001-04-30,25.48,18.58817043175587,6.89182956824413
2001-05-01,24.2,18.121423785122495,6.078576214877504
2001-05-02,24.23,18.188120298700557,6.041879701299443
2001-05-03,25.78,17.34146706596656,8.43853293403344
2001-05-04,23.91,17.34146706596656,6.568532934033438
2001-05-07,24.86,17.661150585395138,7.198849414604862
2001-05-08,24.44,17.732279041341613,6.707720958658388
2001-05-09,24.35,18.017594734037143,6.3324052659628585
2001-05-10,24.0,18.36904679072932,5.630953209270679
2001-05-11,23.54,18.162589022493545,5.377410977506454
2001-05-14,24.26,18.563231399732192,5.696768600267809
2001-05-15,23.71,19.756269890847395,3.9537301091526054
2001-05-16,21.89,16.767085614381642,5.122914385618358
2001-05-17,21.47,16.57004405546358,4.899955944536419
2001-05-18,21.23,16.566056863357794,4.663943136642207
2001-05-21,20.76,15.450972784909172,5.309027215090829
2001-05-22,21.35,16.115334312387187,5.234665687612814
2001-05-23,22.08,15.510822028506539,6.56917797149346
2001-05-24,20.57,15.336419399586193,5.2335806004138075
2001-05-25,20.6,15.124344613899925,5.475655386100076
2001-05-29,22.14,14.839747976296755,7.300252023703246
2001-05-30,22.76,14.641708916653249,8.118291083346753
2001-05-31,22.64,14.43738064885744,8.20261935114256
2001-06-01,21.59,14.448530721149583,7.141469278850417
2001-06-04,21.38,14.298043222763154,7.0819567772368455
2001-06-05,19.58,13.590841033578593,5.989158966421405
2001-06-06,20.39,15.156982549307227,5.233017450692774
2001-06-07,19.67,15.19339725012164,4.476602749878362
2001-06-08,19.92,15.55049452589865,4.369505474101352
2001-06-11,20.7,15.37760319425637,5.3223968057436295
2001-06-12,20.7,18.055497777685428,2.6445022223145713
2001-06-13,21.45,17.9191919460673,3.5308080539326987
2001-06-14,23.12,17.06973462008133,6.05026537991867
2001-06-15,22.81,17.436582233912784,5.373417766087215
2001-06-18,23.17,17.470392096344117,5.699607903655885
2001-06-19,22.34,17.539109441474015,4.800890558525985
2001-06-20,21.71,17.14281307137201,4.56718692862799
2001-06-21,19.38,17.47388108005784,1.906118919942159
2001-06-22,20.02,18.04524314050668,1.9747568594933185
2001-06-25,20.67,18.79493016746812,1.8750698325318815
2001-06-26,21.2,19.330602680723718,1.8693973192762812
2001-06-27,20.88,19.345123416509985,1.5348765834900142
2001-06-28,20.01,18.71747098301486,1.2925290169851422
2001-06-29,19.06,18.770192327198014,0.2898076728019845
2001-07-02,18.76,18.737072343351915,0.02292765664808627
2001-07-03,18.92,18.789738688976048,0.1302613110239541
2001-07-05,20.09,18.377602672818977,1.7123973271810229
2001-07-06,21.63,16.99685735658222,4.633142643417781
2001-07-09,22.48,16.88455862615316,5.595441373846839
2001-07-10,23.25,17.178193152948396,6.0718068470516044
2001-07-11,24.01,17.168550317368183,6.8414496826318185
2001-07-12,22.09,14.816785076392359,7.273214923607641
2001-07-13,21.14,14.688436268030827,6.451563731969173
2001-07-16,22.91,14.211592451235127,8.698407548764873
2001-07-17,22.61,13.75984592937012,8.850154070629879
2001-07-18,23.6,13.67187039142792,9.928129608572082
2001-07-19,22.51,14.44723918262599,8.062760817374011
2001-07-20,22.34,14.79342962264003,7.54657037735997
2001-07-23,23.74,14.43354842026047,9.306451579739528
2001-07-24,25.24,13.570195282309063,11.669804717690935
2001-07-25,24.0,12.583536863696285,11.416463136303715
2001-07-26,23.01,13.614426172263128,9.395573827736873
2001-07-27,22.0,13.609268900275406,8.390731099724594
2001-07-30,22.69,14.379652290650268,8.310347709349733
2001-07-31,21.62,14.40110412433726,7.21889587566274
2001-08-01,20.56,14.872316564678279,5.68768343532172
2001-08-02,20.09,14.914729632145665,5.175270367854335
2001-08-03,19.89,14.927717842992742,4.962282157007259
2001-08-06,21.89,14.620491099823008,7.269508900176993
2001-08-07,21.01,15.800143037327352,5.209856962672649
2001-08-08,22.32,15.90871836446934,6.41128163553066
2001-08-09,21.75,16.10121361885507,5.64878638114493
2001-08-10,20.55,22.43139139687961,-1.8813913968796108
2001-08-13,20.42,22.213231192242265,-1.7932311922422635
2001-08-14,20.48,22.404830729108507,-1.924830729108507
2001-08-15,20.91,23.75494138068973,-2.844941380689729
2001-08-16,21.54,23.69649341147347,-2.1564934114734697
2001-08-17,23.84,28.80439341489428,-4.964393414894282
2001-08-20,22.87,28.82958688569791,-5.9595868856979095
2001-08-21,24.4,28.769852971470062,-4.369852971470063
2001-08-22,22.44,29.04590229275043,-6.605902292750429
2001-08-23,22.23,30.754468943553626,-8.524468943553625
2001-08-24,19.71,29.507798291299274,-9.797798291299273
2001-08-27,20.56,30.17119752346606,-9.61119752346606
2001-08-28,22.0,31.539900443723724,-9.539900443723724
2001-08-29,23.03,31.483734848330876,-8.453734848330875
2001-08-30,25.41,31.173099942097576,-5.7630999420975755
2001-08-31,24.92,31.121551375212707,-6.201551375212706
2001-09-04,25.85,31.115998457385295,-5.265998457385294
2001-09-05,26.35,32.50691987869666,-6.156919878696655
2001-09-06,28.61,32.42416876343946,-3.8141687634394614
2001-09-07,30.99,31.844885303608855,-0.8548853036088566
2001-09-10,31.84,31.818613420449402,0.021386579550597418
2001-09-17,41.76,26.137072521611955,15.622927478388043
2001-09-18,38.87,27.09686623947504,11.773133760524956
2001-09-19,40.56,26.46656607873418,14.093433921265824
2001-09-20,43.74,23.59614205754835,20.143857942451653
2001-09-21,42.66,22.205545253382134,20.454454746617863
2001-09-24,37.75,19.078257782093264,18.671742217906736
2001-09-25,35.81,19.060285412343706,16.749714587656296
2001-09-26,35.26,19.028174899343394,16.231825100656604
2001-09-27,34.0,18.87748500198059,15.122514998019408
2001-09-28,31.93,19.92313830700381,12.006861692996189
2001-10-01,32.32,20.96372295180421,11.356277048195789
2001-10-02,31.18,20.62724024197136,10.552759758028639
2001-10-03,31.34,20.39461105292285,10.945388947077149
2001-10-04,31.97,20.38496799114492,11.58503200885508
