round,hypothesis,config,window,sharpe,irr,bh_irr,excess,n_obs,note
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=12,lev=1.0",TEST,0.35997283601743646,5.069104165641418,5.069104165641418,0.0,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=12,lev=1.25",TEST,0.3210217626882279,4.796666303268986,5.069104165641418,-0.27243786237243217,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=12,lev=1.5",TEST,0.29505438046875543,4.377820884896725,5.069104165641418,-0.6912832807446936,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=12,lev=1.75",TEST,0.27650625031198933,3.8069785100877525,5.069104165641418,-1.2621256555536657,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=12,lev=2.0",TEST,0.2625951526944149,3.0814840749369967,5.069104165641418,-1.9876200907044215,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=60,lev=1.0",TEST,0.35997283601743646,5.069104165641418,5.069104165641418,0.0,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=60,lev=1.25",TEST,0.3210217626882279,4.796666303268986,5.069104165641418,-0.27243786237243217,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=60,lev=1.5",TEST,0.29505438046875543,4.377820884896725,5.069104165641418,-0.6912832807446936,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=60,lev=1.75",TEST,0.27650625031198933,3.8069785100877525,5.069104165641418,-1.2621256555536657,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.0,rebal=60,lev=2.0",TEST,0.2625951526944149,3.0814840749369967,5.069104165641418,-1.9876200907044215,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.1,rebal=12,lev=1.0",TEST,0.3360544570688561,4.4657890847501,5.069104165641418,-0.6033150808913179,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.1,rebal=12,lev=1.25",TEST,0.2925932879283247,3.9671847688252075,5.069104165641418,-1.1019193968162107,240,
2,H3 core azionario + overlay multi-stile 6 classi di asset (AQR Century),"ov=0.1,rebal=12,lev=1.5",TEST,0.26361917516797045,3.3677884816575743,5.069104165641418,-1.701315683983844,240,
